Régime particulier,Nombre places calculées,Adresse complète,Type mobilier,Numéro mobilier,geo_point_2d,Tarif
Vélos,10,1 AV SILVESTRE DE SACY,Nougarette,5,"48.85919068176054, 2.297328047018811",Gratuit
Vélos,1,103 RUE DE TOLBIAC,Epingle vélo,1,"48.82671748393962, 2.364673309773559",Gratuit
Vélos,2, AV ALBERT DE MUN,Epingle vélo,2,"48.86317930462373, 2.291396860581245",Gratuit
Vélos,10,59 RUE DE LA VOUTE,Nougarette,5,"48.84650121210465, 2.4100786939101755",Gratuit
Vélos,22,108 RUE DIDOT,Nougarette,11,"48.82643187590148, 2.3131127946076573",Gratuit
Vélos,12,40 AV DE FLANDRE,Nougarette,6,"48.88686960627722, 2.371795811905226",Gratuit
Vélos,20, RUE ANDRE BRECHET,Nougarette,10,"48.898897837162906, 2.3259793673173266",Gratuit
Vélos,8,166 BD DE MAGENTA,Nougarette,4,"48.88322168020113, 2.349961055647826",Gratuit
Vélos,5,96 RUE DU CHEMIN VERT,Sans,0,"48.86110909099036, 2.381300073910087",Gratuit
Vélos,16,51 RUE DOUDEAUVILLE,Nougarette,8,"48.8884256496937, 2.352666919825067",Gratuit
Vélos,4,21 RUE SAINTE-CROIX DE LA BRETONNERIE,Epingle vélo,4,"48.85827703520225, 2.3558439126920234",Gratuit
Vélos,12,117 RUE DE L' UNIVERSITE,Nougarette,6,"48.86109720054066, 2.3100435577577585",Gratuit
Vélos,3,19 BD BARBES,Epingle vélo,3,"48.8856989461436, 2.3496361914746036",Gratuit
Vélos,11,42 RUE DE LA BUTTE AUX CAILLES,Epingle vélo,11,"48.82754832026811, 2.3483973569776118",Gratuit
Vélos,8, PAS PHILIPPE-AUGUSTE,Nougarette,4,"48.85187925159264, 2.393489290455467",Gratuit
Vélos,16,40 RUE DE LILLE,Nougarette,8,"48.858499657159484, 2.3298441770318727",Gratuit
Vélos,24,54 RUE DES TOURNELLES,Nougarette,12,"48.85647211981652, 2.3673027173251877",Gratuit
Vélos,10,14 RUE AMELOT,Nougarette,5,"48.8562384817111, 2.3691437091091387",Gratuit
Vélos,3,6 BD DE CLICHY,Epingle vélo,3,"48.882194555423766, 2.339081296510981",Gratuit
Vélos,10,49 AV HOCHE,Nougarette,5,"48.875074948880616, 2.298404031225866",Gratuit
Vélos,16,21 QU D' AUSTERLITZ,Nougarette,8,"48.83887849598736, 2.3719063137728282",Gratuit
Vélos,10,128 BD AUGUSTE BLANQUI,Nougarette,5,"48.831811660027036, 2.341960544008588",Gratuit
Vélos,15,6 RUE ARCHEREAU,Epingle vélo,15,"48.889671278479376, 2.3718284760262125",Gratuit
Vélos,12,56 RUE RAMUS,Nougarette,6,"48.863332449568205, 2.3980997226873106",Gratuit
Vélos,8,116 CRS DE VINCENNES,Nougarette,4,"48.8468125768359, 2.410425944428986",Gratuit
Vélos,8,33 RUE DU FAUBOURG MONTMARTRE,Nougarette,4,"48.873931485634984, 2.342425891197517",Gratuit
Vélos,4,24 RUE CHANZY,Epingle vélo,4,"48.85260784927747, 2.3846589550447104",Gratuit
Vélos,10,2 RUE GEORGE EASTMAN,Nougarette,5,"48.82937057646608, 2.3599132991787624",Gratuit
Vélos,1,103 RUE DE TOLBIAC,Epingle vélo,1,"48.826720099321854, 2.3646986199907976",Gratuit
Vélos,1,80 BD MARGUERITE DE ROCHECHOUART,Epingle vélo,1,"48.88274560490381, 2.3431685318026774",Gratuit
Vélos,18,21 RUE DE LA FOLIE-MERICOURT,Nougarette,9,"48.8625412950965, 2.3735876477746407",Gratuit
Vélos,8,47 RUE DE VOUILLE,Nougarette,4,"48.83387264900448, 2.3082712846272737",Gratuit
Vélos,6,34 RUE DROUOT,Epingle vélo,6,"48.87481589234437, 2.3409182929385177",Gratuit
Vélos,10, QU DE L' HOTEL DE VILLE,Epingle vélo,10,"48.85580356477677, 2.351136303228443",Gratuit
Vélos,8,178 BD PEREIRE,Nougarette,4,"48.88189294326302, 2.291163466072604",Gratuit
Vélos,50,9 BD PEREIRE,Nougarette,25,"48.88767968427545, 2.312460885263695",Gratuit
Vélos,8,57 RUE JULIEN LACROIX,Epingle vélo,8,"48.87042657101519, 2.3841003709807076",Gratuit
Vélos,8,192 RUE LEGENDRE,Nougarette,4,"48.89209823320307, 2.3263960631152996",Gratuit
Vélos,3, RUE ROTTEMBOURG,Epingle vélo,3,"48.8380738098957, 2.4053890024755917",Gratuit
Vélos,5,19 RUE EUGENE CARRIERE,Sans,0,"48.89011832648843, 2.3328881894483535",Gratuit
Vélos,26,22 RUE TOURNEFORT,Nougarette,13,"48.842725206543896, 2.3481636363072846",Gratuit
Vélos,12,2 PL DE LA NATION,Nougarette,6,"48.84842873821088, 2.3943905989311145",Gratuit
Vélos,24,79 ALL PIERRE LAZAREFF,Nougarette,12,"48.86698462153384, 2.348621385977102",Gratuit
Vélos,9,22 RUE GUENOT,Epingle vélo,9,"48.85203537365474, 2.391955038497192",Gratuit
Vélos,12,26 RUE PERDONNET,Epingle vélo,12,"48.884056885021906, 2.3613423818109642",Gratuit
Vélos,12,7 RUE SAINT-GILLES,Nougarette,6,"48.857968262817906, 2.3656294925672863",Gratuit
Vélos,5,90 RUE DE GRENELLE,Epingle vélo,5,"48.855525888870915, 2.3236163539673647",Gratuit
Vélos,4,233 RUE DES PYRENEES,Nougarette,2,"48.86389775200393, 2.3992000302466345",Gratuit
Vélos,18,151 AV GAMBETTA,Nougarette,9,"48.87008318408861, 2.402907388526635",Gratuit
Vélos,34,15 RUE JACQUEMONT,Nougarette,17,"48.88777060637908, 2.3225267369113856",Gratuit
Vélos,14,10 AV DES GOBELINS,Nougarette,7,"48.83784425305155, 2.350907769163608",Gratuit
Vélos,6,256 RUE DE BELLEVILLE,Nougarette,0,"48.8757199404204, 2.400850803912933",Gratuit
Vélos,20,95 RUE LECOURBE,Nougarette,10,"48.84299334601639, 2.3037435024232225",Gratuit
Vélos,5,4 RUE DE L' HOPITAL SAINT-LOUIS,Sans,0,"48.874789084455614, 2.365858868252132",Gratuit
Vélos,12,39 AV PHILIPPE-AUGUSTE,Nougarette,6,"48.85201501102879, 2.393569248312136",Gratuit
Vélos,4,23 BD MORLAND,Sans,0,"48.85092391377402, 2.362247680822866",Gratuit
Vélos,8,17 RUE TIPHAINE,Nougarette,4,"48.84893321806869, 2.296153272542454",Gratuit
Vélos,4,13 RUE BELHOMME,Sans,0,"48.88426357360471, 2.3485425756850464",Gratuit
Vélos,5,7 RUE DE LA ROSIERE,Epingle vélo,5,"48.844539458718444, 2.2891154240285503",Gratuit
Vélos,3,6 RUE LACUEE,Epingle vélo,3,"48.8497231863707, 2.3692057873707877",Gratuit
Vélos,10,10 RUE HEGESIPPE MOREAU,Nougarette,5,"48.88720958789206, 2.3271536942161917",Gratuit
Vélos,5,17 RUE BARON LE ROY,Epingle vélo,5,"48.835061845487026, 2.3875700208525656",Gratuit
Vélos,20, RUE D' AVRON,Nougarette,10,"48.85305684403855, 2.4078748013711557",Gratuit
Vélos,5,98 RUE D' ALLERAY,Epingle vélo,5,"48.83629451422325, 2.3091865760423795",Gratuit
Vélos,36,34 RUE JEAN-BAPTISTE PIGALLE,Nougarette,18,"48.87987989906255, 2.334301900488865",Gratuit
Vélos,2,64 BD BARBES,Epingle vélo,2,"48.888496120279115, 2.34947577689408",Gratuit
Vélos,8,69 RUE CORVISART,Nougarette,4,"48.82994878424399, 2.3492489117685116",Gratuit
Vélos,3,2 RUE BOIS LE VENT,Epingle vélo,3,"48.85765526820463, 2.277197193562101",Gratuit
Vélos,4,17 RUE EMMANUEL CHAUVIERE,Epingle vélo,4,"48.843318075031014, 2.279924899686739",Gratuit
Vélos,9,1 RUE LABIE,Epingle vélo,9,"48.87961357233641, 2.2892035861941378",Gratuit
Vélos,8,5 RUE OLIVIER MESSIAEN,Epingle vélo,8,"48.82970453595762, 2.3791766412952793",Gratuit
Vélos,1,33 BD DE CLICHY,Epingle vélo,1,"48.88283986192724, 2.3355554624853117",Gratuit
Vélos,11,6 PL PAUL PAINLEVE,Sans,0,"48.85029221405207, 2.343892807846153",Gratuit
Vélos,7,4 RUE LARREY,Epingle vélo,7,"48.841604023326504, 2.35384922201785",Gratuit
Vélos,7,36 RUE DEBELLEYME,Epingle vélo,7,"48.86239248120592, 2.363983908709843",Gratuit
Vélos,9,5 RUE CLEMENT MAROT,Epingle vélo,9,"48.86694404846476, 2.3042480787589112",Gratuit
Vélos,13,51 BD JOURDAN,Epingle vélo,13,"48.8215951533582, 2.332517339795148",Gratuit
Vélos,8,19 BD D' INDOCHINE,Nougarette,4,"48.88543040886142, 2.3967928732004005",Gratuit
Vélos,20,34 RUE SAINT-ANTOINE,Nougarette,10,"48.85385050987836, 2.365068867961593",Gratuit
Vélos,8,17 RUE BOUILLOUX-LAFONT,Nougarette,4,"48.83674899381607, 2.2794253679412795",Gratuit
Vélos,10,50 RUE DE CAUMARTIN,Nougarette,5,"48.87431840283493, 2.328450556067804",Gratuit
Vélos,32,11 AV D' IVRY,Nougarette,16,"48.82206037534367, 2.3681909832360373",Gratuit
Vélos,8,5 RUE MAURICE BOUCHOR,Nougarette,4,"48.82626331983921, 2.309269892158711",Gratuit
Vélos,20,29 RUE RICHER,Nougarette,10,"48.87402197426176, 2.3446504236645893",Gratuit
Vélos,12,16 RUE NICOLAS CHARLET,Nougarette,6,"48.84188461745827, 2.3143882698125924",Gratuit
Vélos,10,115 RUE CASTAGNARY,Nougarette,5,"48.82993039839193, 2.3051336157809446",Gratuit
Vélos,5,33 RUE ROBERT LINDET,Sans,0,"48.83262088697139, 2.297489198327841",Gratuit
Vélos,8,76 RUE DE MONCEAU,Nougarette,4,"48.88009117603492, 2.3155636673117512",Gratuit
Vélos,8,71 RUE DU CHEVALERET,Nougarette,4,"48.82856221891082, 2.376399000052765",Gratuit
Vélos,8,36 RUE JEAN MARIDOR,Nougarette,4,"48.838201667570004, 2.2875194324992267",Gratuit
Vélos,5,31 RUE DE CLICHY,Sans,0,"48.878879075750596, 2.329614400181586",Gratuit
Vélos,5,1 AV HOCHE,Sans,0,"48.87791354213725, 2.3051021410196224",Gratuit
